P,S
직장 상사가 오늘 나에게 한마디 했는데 내가 너무 나 자신을 숨기는 거 같다며 내 이야기를 좀 하라고 말을 했어.,직장에서 방어적으로 사람들을 대하시나요?
나 왜 벌써 은퇴하지?,은퇴가 언제예요?
아빠가 자꾸 오빠 성적이랑 비교하면서 나보고 멍청이라고 해서 너무 화나.,그런 상황이 있었다니 많이 속상하셨겠어요.
이게 말이 돼?,무슨 일 있으세요?
요즘 직장에서 짜증 내는 일들이 많아져서 나 자신이 한심스러워.,짜증 날 만한 일이 있으셨어요?
결혼 준비하면서 왜 파혼하는지 알 것 같아.,결혼 준비 과정에서 무슨 일이 있으셨나요?
돈만 열심히 버느라 벌써 내 나이가 이렇게 되는 줄도 몰랐다니 믿기지 않아.,젊은 시절 경제적으로 풍족하기 위해 정말 열심히 사셨나 봐요.
옆부서 팀장은 왜 나한테만 시비를 걸지.,많이 힘드시겠네요.
딸이 결혼을 해야 하는데 큰일이야.,무슨 일이 생긴 건가요?
학교 선생님이 내 성적보고 꿈을 무시해서 너무 화가 나.,선생님이 성적으로 꿈을 무시해서 속이 많이 상했군요.
학교에서 다른 아이들을 괴롭히는 애들을 보면 구역질이 나.,나쁜 아이들을 보면 화가 나시는군요.
그 할머니께 연락이 안오네.,어떤 할머니인가요?
내 당뇨 합병증 치료 때문에 아들이 대출을 받았어.,아들에게 미안하시겠어요.
아니 경력자만 뽑을거면 나같은 사람은 경력을 어디서 쌓으라는거야?,안좋은일이라도 있으셨나봐요.
남친이 자꾸 뮤지컬 보러 가지 말라고 하는데 진심 짜증 난다.,남자친구분은 무슨 이유로 그러시는 건가요?
퇴직금으로 주식을 조금 샀는데 갑자기 그 회사에 대한 악의적인 보도가 나오면서 주가폭락이 되버렸어.,악의적인 보도는 확실한가요?
이번 추석에도 고모께서 결혼은 언제 할 것이냐고 질문하셨어.,명절에 고모께서 언제 결혼할 건지 물어보셨군요.
정말 이 회사 때려치울 때가 된 것 같아.,무슨 일이 있었나 보군요.
건강에 방어적이게 돼.,무슨 이유인가요?
새로 산 자동차 앞 좌석 시트에 친한 친구가 커피를 쏟아서 너무 짜증이 나.,시트에 커피를 쏟으셨다니 정말 화나시겠어요.
내가 친구보다 혈압이 높다니 참 이해가 안 돼.,많이 툴툴 대시네요.
몇 년째 찾아오지 않는 자식들에게 일부러 나도 연락을 안 했어.,자식분들이 몇년째 찾아오지 않아서 화나시겠네요.
노후 준비를 위해서 가계 재정 관리를 직접 하고 있는데 아내와 의견 마찰이 있어서 성가셔.,가계 재정 관리 때문에 아내와 의견 마찰이 있으셔서 성가시겠어요.
결혼 하기 싫은데 왜 다들 하라고 하는거야?,결혼 하기 싫으신 이유가 있나요?
지금의 가난에서 벗어나는 길은 죽음뿐이야.,죽음 외에는 생각이 나지 않아 속상하시겠어요.
얼마 전에 정년퇴직을 했어.,아 정년퇴직을 하셨군요.
왜 그런 감정이 드셨나요?,엄마가 내 물건을 말도 없이 버렸어.
내가 건강에 좋다는 식품을 비싸게 주고 구입했거든.,건강식품을 구입하셨군요!
나는 가족 먹이겠다고 돈만 벌어오는데 아내는 그 돈으로 동네 아줌마들과 도박을 한다네.,가족을 생각하시는 마음을 아내분이 몰라주는 거 같아 실망이 크시겠어요.
결혼을 신분상승의 기회로 삼는 친구를 욕했어.,결혼으로 신분상승을 하려는 친구가 있군요.
신입 직원이 우리 부서의 스타일도 파악 못 하고 말도 안 되는 건의를 너무 많이 해서 거슬려.,회사의 업무 스타일도 알지 못하는 새 직원이 의견을 많이 건의해서 화가 나시는군요.
약한애만 따돌리는 아이가 있는데 구역질 나.,약한애만 괴롭히다니 너무 나쁘네요.
동창회에서 등산 모임을 만들었데.,등산 모임에 참여하실 건가요?
가끔 나를 감정 쓰레기통으로 생각하는 친구들이 있는 것 같아.,친구가 이유 없이 화를 내거나 짜증을 내나요?
남편이 지금도 밤마다 열정이 지나쳐서 불쾌해.,부부관계에 문제가 있어 힘겨우신듯 하네요.
난 평생 건강을 신경 쓰고 살아왔어.,방어적인 생활을 하고 계셨군요.
결혼을 생각하면 구역질이나.,그렇게 생각하시는 이유가 있으신가요?
건강을 이제부터라도 지키려고.,건강이 안 좋나요?
와이프와 결혼식장을 가야 하는데 비가 올 것 같아.,그렇네요.
내가 왜 암에 걸려서 이렇게 힘들어야 하는지 모르겠어.,왜 암에 걸려 힘들어야 하는지 모르시겠군요.
난 친구들이랑 문자하는게 너무 귀찮아.,왜 그렇게 느끼시나요?
나는 또 지원금 선정 대상에서 제외되었나 봐.,여러 번 같은 일로 실망하게 되어서 속상하신 것 같네요.
우리 가족들만 생각하면 너무 안달나.,무슨 일 때문에 그러세요?
김 부장은 왜 맨날 나에게 본인 일을 떠넘기는 것인지 모르겠어.,김 부장이 매일 일을 떠넘기는군요.
내가 이러고 사는 게 맞나 싶어.,무슨 고민이 있으세요? 
사람들은 건강에 좋다면 물불을 안 가리나 봐!,무슨 일 때문에 그러시나요?
남편과 이혼을 준비 중인데 공동명의로 해둔 재산이 많아서 번거롭네.,이혼 준비로 성가신 일이 많군요.
언니가 내 옷을 몰래 입고 나가서 화가 나서 언니한테 물을 쏟았어.,언니가 옷을 몰래 입고 나가서 화가 나셨군요.
회사가 아무리 바빠도 여름 휴가를 못 간다는 게 말이 돼?,여름 휴가를 못 가게 되어서 많이 화가 났군요.
길에서 담배를 피우다 경찰에 걸린 친구가 난동을 부리는데 너무 어이가 없어.,친구 때문에 어이가 없으셨군요.
몸이 아픈데 아내랑 자식들은 돈만 쓰고 나는 돌봐주지도 않아.,아픈데 아무도 돌봐주지 않아서 서러우시겠어요.
친구들이 날 따돌리는데 너무 화가 나.,친구들의 학교폭력 때문에 화가 많이 났군요.
은퇴후에 노후준비 자금으로 펀드를 가입했었는데 원금이 절반 밖에 안남았다네.,노후자금을 펀드로가입했는데 펀드 수익율이 너무 않좋았군요.
친구들한테 화가 나.,왜 그러세요?
엄마한테 영어과외 시켜달라 할라고.,이미 영어학원을 다니잖아요?
상사가 항상 밖에서 받은 스트레스를 직장에서 푸는 것 같아서 나도 화가 나.,상사가 밖에서 쌓인 스트레스를 직장에서 풀어서 화가 나시군요.
학교에 일진들이 너무 많아.,그럼 걱정이 많으시겠네요.
건강검진 결과가 아직 안 나왔어.,결과가 걱정이 되세요?
오늘 남자친구와 크게 싸워서 좌절했어.,어쩌다가 싸우게 되신 건가요?
내가 괜찮다는데 집사람이 매일 영양제를 먹으래서 짜증이 나.,영양제가 필요 없는 것 같은데 매일 먹으라고 하니 정말 싫증나겠어요.
아내가 나 몰래 다른 돈을 모아서 관리하고 있었어.,아내가 몰래 다른 돈을 관리하고 있었다니 화가 나고 속상하셨겠어요.
여자친구가 연락이 자꾸 두절 돼서 불안해.,여자친구와 연락이 되지 않으셔서 불안하시겠어요.
상사가 내게 자꾸 같은 작업 수정을 요청해서 열 받아.,계속 같은 작업의 수정을 요청했다니 열 받았겠어요.
남편이 내가 천식으로 고생하는 것을 알면서도 천식치료제를 숨겨버렸어.,천식치료제를 숨겨버리다니 너무 힘드시겠어요.
대체 왜 나 혼자만 바쁘게 일하는지 모르겠어.,동료 분들이 일을 도와주지 않나요?
계속해서 핵심을 잡지 못하고 겉도는 회의가 계속되어 답답해.,회의가 겉도는 느낌이 들고 결론이 나지 않아 많이 답답하셨군요.
친구가 정말 성가시게 해.,친구분이 어떻게 하시는데요.
남편 때문에 화가 나서 어쩔 줄을 모르겠어.,남편님이 무슨 일로 화가 나게 하시는 건가요?
우리 부모님이 내 결혼을 너무 반대해.,어떤 것 때문에 반대하시는가요?
내가 죽음을 벌써 걱정하는 게 화나.,왜 벌써 걱정하세요?
직장에서 과도한 업무로 힘들어.,힘들 땐 어떻게 하시나요?
내 학교 성적에 가족들이 관심이 많아.,가족들이 관심이 많으시군요.
나는 왜 이렇게 돈이 없을까.,이유를 모르시나요.
퇴직금을 받았는데 이제 어떻게 사용해야할까?,퇴직금을 어떻게 사용할지 고민 중이시군요.
요즘 새로운 친구를 사귄다는 게 어려운 거 같아 나도 모르게 방어하게 되네. ,새롭게 친구를 만난다는 게 어렵게 느끼셔서 자신을 방어하시는군요.
요새 젊은 친구들은 끈기가 없어.,무슨 일 있으셨나요?
어제 남자친구와 사귄 지 백 일이었어.,남자친구와 사귄 지 백 일이 되셨군요.
오늘 회사에서 짜증 나는 일이 있었어.,회사에서 무슨 일이 있었나요?
회사 동료가 뒤에서 내 욕을 한다는걸 오늘 알아 버렸어.,기분이 매우 상하셨겠어요.
아들이 대학을 졸업해도 취직을 안하고 집에만 뒹굴거리고 있으니 꼴보기 싫어.,아들이 대학을 졸업하고도 집에서 뒹굴거리기만 하면 많이 열받으시겠어요.
요즘 취업 시장과 진로 쪽에서 화나는 점이 뭐냐면 잘 알지도 못하면서 이래라저래라 하는 어른들 보면 화가 나.,그러시는 특별한 이유가 있을까요?
진짜 내 옆사람은 일을 너무 못해 짜증나.,동료분이 일처리가 많이 서투셔서 스트레스 받으시겠어요.
중학교 삼 년 내내 반장을 했었는데 고등학교에 올라와서 처음으로 반장선거에서 떨어져서 속상해.,고등학교에 올라와서 처음으로 반장선거에서 떨어져서 속상하시겠어요.
직장 상사가 회식에 자주 불러내서 매우 성가셔.,직장 내 회식이 성가시다고 느끼시는군요.
동네 산책로를 걷다가 구역질이 났어.,어떤 일 때문에 구역질이 나셨나요?
요즘 회사에서 눈치를 많이 봐.,마음이 편하지 않아 보여요.
왜 난 건강하지 않을까?,왜 그러세요?
학교에 나가기가 너무 싫어.,학교에 가기 싫은 이유가 있나요?
괜찮다고 갑자기 가슴통증이 심하고 압박감이 있는 거 보니 곧 심근경색이 올 것 같아.,가슴통증도 심하고 압박감이 있는 거 보니 심근경색이 올 것 같아 걱정이 되시는군요.
열심히 공부해도 상위권에 있는 애들을 따라잡기 힘들어 좌절되어.,정말 열심히 했는데 상위권 애들을 못따라 잡으니 속상하겠네요.
전화를 하지 않으면 모임 회비를 주지 않는 친구가 있어서 성가셔.,회비 내기를 미루는 친구 때문에 성가시겠어요.
연애 과정이 문제가 있으세요?,응 남자친구가 오늘도 약속에 늦었어.
나의 약점을 잡고 공격하는 친구들이 있어.,친구들과의 관계에 문제가 있으시군요.
어쩌면 좋지?,무슨 고민 있으세요?
수학 과외는 더이상 하고 싶지 않아.,왜 하고싶지 않으신가요?
남편이 초기 암 진단을 받은 후 내 이름으로 생명보험을 가입했어.,남편이 암 진단을 받고 당신의 이름으로 생명보험을 가입했군요.
건강이 걱정돼 건강검진을 받아봐야겠어.,건강검진을 생각중이시군요.
요즘 남편이 예전같지 않아 이상해.,남편분이 태도가 달라지셔서 속상하시겠어요.
얼마 전에 직장에 취업했는데 내가 원하던 업무가 아닌 것 같아서 짜증이 나.,생각했던 업무와 다르다고 느껴지니 답답하고 짜증도 났겠어요.
툴툴대는 회사 후배 때문에 스트레스받아.,그런 후배가 있으면 고민되실 것 같아요.
기분 나쁠 때마다 잠수 타는 남자친구 때문에 짜증이 나.,남자친구의 행동 때문에 짜증 나는 일이 있으셨군요.
사람이 그럴 수가 있어?,어떤 일이지 말씀해보세요.
나 너무 화가 나.,왜 화가 나는지 여쭤봐도 될까요?
지난 여름 남편이 은퇴하고 집에 있는데 미치겠어.,왜 미칠 것 같다는 생각이 드시나요?
머리가 아파.,무슨 일 때문이시죠?
죽는게 구역질이 나.,아픈 곳이 있나요?
여자 부장 때문에 너무 스트레스받아.,직장에서 사람 문제로 스트레스받으셨나 봐요.
요즘에 아들이 말이 없이 조용한 편이야.,그래서 어떻게 하셨나요?
전에 아는 사이였던 사람이 자꾸 내게 돈을 빌려달라해서 구역질 나.,계속 돈을 빌려달라하는 지인 분 때문에 구역질 나시는군요.
나를 비롯한 주변인들과 끊임없이 비교하는 친구가 있는데 만날 때마다 기분 나빠.,타인과의 비교를 멈추지 않는 친구 때문에 화가 난 거로군요.
남편의 고쳐지지 않는 습관 때문에 너무 힘이 들고 짜증이 나네.,남편분의 습관 때문에 매우 힘들어하시는군요.
꼭 들어가고 싶은 회사가 있는데 나이 제한 때문에 지원조차 못 해서 좌절이야.,아주 안타깝고 아쉽겠네요. 
헤드헌터가 이직할 생각 없냐고 계속 찔러보는데 미치겠어.,이직한다면 그 직장에서 만족하실 수 있을 것 같아요?
내가 취업 준비 스터디를 같이 하는 팀이 있는데 성가신 애가 한 명 있어. ,평소 친하게 지내던 사이였나요?
선생님이 자율학습 때 뺏었던 휴대폰을 반장만 줘서 짜증나.,뺏은 휴대폰을 반장한테만 주어서 화가 났군요.
오늘도 힘들다.,무슨 일이세요?
나이를 먹을수록 사람에 대한 경계와 의심이 많아지는 것 같아.,그렇게 생각하신 특별한 계기가 있으셨나요?
이번 프로젝트는 진짜 자신 있었는데 이렇게 끝날 줄이야.,진행하던 프로젝트가 잘 안된 건가요?
백내장이 악화되어 시력을 잃게 되자 가족의 잔소리가 점점 늘어가.,많이 슬프시겠어요.
와이프의 언행에 위축이 되는 것 같아.,와이프의 언행이 어땠나요?
병원에 가야 하는데 나가기 싫어.,집에서 쉬고 싶으시군요.
합격이 간절해서 자기소개서를 부풀려 썼어. ,그 행동이 필요하다고 느끼셨나요?
언니가 내 성적으론 대학 못 간대.,언니 말에 상처 받았군요.
건강검진에서 아내에게 작은 종양이 발견 되었대.,많이 놀랐겠어요.
여기저기 안 아픈 데가 없어.,병원에는 가보셨나요?
살면서 머리숱도 빠지고 배도 나오고 있어.,고민이시겠어요.
나보다 좋은 곳에서 많은 연봉을 받는 친구들을 보면 자존감이 떨어져.,많은 연봉을 받는 친구들을 보면 자존감이 떨어지시는군요.
자료 조사랑 문서 작성은 내가 잘했는데 발표만 잘한 친구가 더 좋은 성적을 얻어서 화나!,기대보다 낮은 성적을 받아서 많이 황당하시겠어요.
빨리 취업이 되어야 할 텐데 걱정이야.,빨리 취업을 하고 싶으신 이유가 있으신가요?
왜 나는 시력이 안 좋아서 어렸을 때부터 고생을 했을까?,시력이 어렸을 적부터 안 좋으셨나요?
아프고 성가신 구내염 대처법 없을까?,구내염 때문에 성가시고 아프신가봐요.
회사에서 임원 승진 팔개월만에 실적부진으로 해임되어서 화가나네.,임원에서 해임되어서 많이 속상하신가봐요.
복도를 지나가는데 내 친구의 발을 어떤 아이가 일부러 걸어 넘어뜨려서 참을 수가 없어.,친구에게 일부러 발을 걸어 넘어뜨려서 화가 나셨겠어요.
코로나바이러스로 마스크를 꼭 착용하는 것이 일상이 되었지.,마스크 착용이 일상이 되었군요.
아내가 갱년기인지 요즘 병원을 다녀.,많이 걱정되시겠어요.
대인관계에 안달이 나.,왜 그러세요?
자식들이 나에게 잘하는 게 유산 때문인 것 같아.,유산 때문에 자식들이 잘해주는 것 같은 기분이 드셔서 많이 속상하시겠어요.
일어나면 출근해서 정신없이 일하고 겨우 집에 와서 숨 좀 돌리고 쉬려는데 자꾸 연락하고 만나자고 하는 남자친구가 너무 귀찮아.,업무로 인해 몸이 지쳐있는데 계속되는 연락에 힘드시군요.
나는 시키는 대로 했는데 일을 못한다는 소리를 들었어.,시키는 대로 했는데 그런 소리를 들어서 기분이 상하셨겠어요.
다리가 아프고  피곤한데 아내가 등산을 가자고 해서 짜증이 나,몸도 피곤하고 다리도 아픈데 힘든 등산을 가자고 하니 화가 나시는 거네요
건강검진을 또 받으러 가야 해.,무슨 일이신가요?
맨날 엄마는 내 얘기는 들어주지도 않고 엄마는 볼 때마다 진짜 너무 짜증 나.,엄마가 이야기를 들어주지 않으셔서 짜증 나시는군요.
건강 상태에 너무 화가 났어.,왜 그러세요?
노인정 김씨할머니때문에 너무 화가나.,오늘은 또 무슨 일이세요?
친구들이 자꾸 나에게 악의적인 메시지를 보내.,메시지를 받았을 때 정말 힘들었겠어요.
내 친구를 은근슬쩍 따돌리는 애들 때문에 진짜 너무 화가 나.,친구를 따돌리는 애들 때문에 화가 나셨군요.
하고 싶은 게 없는데 무조건 대학을 가라고 하는 선생님 때문에 짜증 나.,진로와 진학 문제로 스트레스받으시는군요.
여자친구랑 여행을 갈려고 하는데 여자친구는 자꾸 거절해.,여자친구가 여행을 거절하는군요.
잠시 내 자취방에 신세를 지겠다는 친구가 나갈 생각도 않는데다 코까지 심하게 골아.,친구가 말과 다르게 행동해서 무척 화가 나겠어요.
아내가 건강검진에서 작은 종양이 발견되었는데 너무 마음이 낙심돼.,아내에게 작은 종양이 발견돼서 마음이 아프시겠어요.
지금은 아픈 데가 없지만 혹시 아프게 되면 돈이 많이 필요할 것 같아 지금부터라도 지출을 줄여야 해.,지출을 줄이 실 생각이시군요.
요즘 내가 집안일을 안해서인지 아내가 많이 들볶고 괴롭혀.,아내분의 행동에 만힝 성가시나 보군요.
친구들이랑 비교했을 때 나만 노후자금이 부족해.,친구들 보다 노후 자금이 부족하다 느끼시는군요.
반 친구 괴롭히는 소리가 너무 시끄러워서 짜증나.,시끄럽게 하면 많이 짜증나시겠어요.
부하 직원들이 일을 따라서 오지 못해.,그래서 화가 나신 것 같으시네요.
심장병이 나빠져 남들이 알까봐 방어적으로 변하고 있어.,심장병을 겪고 계시군요.
나 지금 너무 짜증 나고 화가 나.,좀 더 자세히 말씀해주시겠어요?
엄마랑 감정적으로 너무 다투다보니까 이젠 얘기하자고 하면 벌써 싫어져.,가장 최근에 다퉜을 때가 언제인가요?
남편이 직장 때문에 고민하는 것 같아.,무슨 일로 그러시는데요?
결혼은 성가신 것 같아.,그렇게 생각하시는 이유가 있나요?
우울증 걸려서 그런지 가족도 귀찮고 다 싫어 우울하기만 해.,가족도 귀찮고 나가는 것도 싫다니 많이 힘드시겠어요.
살고 있는 원룸을 재계약해야 하는데 집 주인이 금액을 올리며 맞게 내던지 아니면 나가라고 했어.,집주인이 살고 있는 원룸의 금액을 일방적으로 올려서 화가 났겠어요.
학교에서 따돌림 당하고 있어서 학교 다니기 싫어.,따돌림을 당하고 있어 학교를 다니기 싫으시군요.
선생님이 자꾸 나를 내 옆자리 친구랑 비교하셔서 속상하고 화나.,선생님이 옆자리 친구와 비교하셔서 속상했군요.
남편이 바람 피우는 여자를 내 앞에 데리고 와서는 이혼하자고 했어.,정말 어이없고 화나셨을 것 같아요.
아내가 지어준 보약을 챙겨 먹어야 하는데 귀찮아.,보약을 챙겨 드시기 귀찮으시군요.
직장구하는거 너무 스트레스받아.,왜 그러세요?
약 먹는게 귀찮아 죽겠어.,정확한 상황을 말씀해주시겠어요?
아이가 매일 늦게 들어와서 불안해.,전화를 자주 해보시나요?
이번 추석에 고향에 내려가기 싫어.,무슨 일 있으신가요?
남편이 내가 몰래 숨겨놓은 비상금으로 계모임에 넣은걸 알고는 화를 내는데 나도 화가 나고 짜증나.,계모임을 든 사실을 남편이 알게 돼서 화나셨겠어요.
전화가 자꾸 와서 성가시네.,어떤 내용의 전화인지 물어봐도 될까요?
공부가 내 길이 아니라 공부를 안하는 것 뿐이야.,공부하시는게 힘드신가 봐요.
나이 드니까 아픈 곳만 늘어.,어디 아프세요?
아내에게 기립성 저혈압이 있어,지병이 있으셔서 걱정되시겠어요
동생이랑 잘 풀었으면 좋겠네요.,오늘 동생 때문에 슬픈 일이 있었어.
다들 나를 따돌려서 어떻게 해도 다른 아이들과 친해질 수 없을 것 같아.,많이 좌절하신 것 같아요.
아내가 바람을 폈어.,상심이 크시겠어요.
친구랑 이렇게 사이가 멀어질 수도 있구나 싶다!,무슨 일이세요?
이제 노인정에 나가도 건강한 사람 하나도 없어.,노인정에 가면 다 병이 드신 분이 많으신가봐요.
의사가 가족들에게 몰래 마음의 준비를 해야 한다고 말하는 것을 들었어.,하늘이 무너졌겠네요.
쉬고 싶은 주말에 자꾸 회사에서 연락이 와서 너무 불편해.,주말에 회사에서 연락이 와서 많이 불편하시겠어요.
나는 왜 공부해도 성적이 안나올까.,성적표 받으셨어요?
면접 본 회사에서 어제 탈락했다고 하더니 오늘 나와 달라고 연락이 왔어.,탈락이었는데 오늘은 합격이라는 연락을 받아서 당신의 기분은 어떠한가요?
내 젊음도 다 갔지만 마음만은 청춘이야.,건강해보이고 너무 멋지신거 같아요.
내가 명품을 사대는 것도 아니고 내 나름으로는 아끼면서 사는데 빚이 점점 늘어서 짜증 나.,아끼면서 살고 계시지만 빚이 줄어들지 않아서 짜증 나시겠어요.
돈도 못 벌어 오면서 가장이랍시고 군림하는 아빠가 너무 싫어.,우리나라 사회가 아직은 가부장적인 요소가 많아요.
어제 학교에서 친구들에게 따돌림을 당했어.,친구 분들에게 따돌림을 당하셨군요.
우리 회사는 출근 시간이 빠른데도 불구하고 직원들은 더 일찍 와서 눈치가보여.,출근 시간이 빠른데도 불구하고 직원들이 모두 일찍 와서 눈치가 보이시군요.
아내가 나와의 대화에 얼마나 방어적인지 몰라.,어째서 방어적이라고 느끼시는 건가요?
내 동료가 나한테 악의적인 감정이 있는 것 같아.,왜 그런 생각이 드셨나요?
아들이 내 차를 빌려갔는데 출근하지 전까지 오지 않아.,아드님이 제 시간에 오지 않아서 화나시겠어요.
방송을 보니 별일이 다 있네.,어떤 내용인가요?
사람들에게 악의적으로 대하고 있어.,무엇 때문에 그러시나요?
간암에 걸려서 간이 필요한데 자식들이 검사를 거부해서 씁쓸하네.,자식들이 간 이식 검사를 거부해서 기분이 상하셨겠어요.
낙하산으로 들어온 주제에 잘난 척하는 후배가 있어.,그래서 기분이 노여워 보이세요.
아들이 너무 대들어서 이제 무슨 말을 못 하겠어.,무슨 문제기에 그러세요?
상사가 나한테만 일을 몰아줘서 힘들어.,업무량이 많아 스트레스가 많으시겠어요.
사랑하는 마음 없이 부모님 마음에 드는 사람과 결혼하고 싶지 않아.,정말 고민이 많으시겠어요.
내 나이가 몇인데 아빠는 살쪘다고 잔소리를 해.,아버님이 잔소리해서 기분이 안 좋으시겠어요.
아내가 말귀를 못알아 먹어.,무슨일이신가요?
수업 중에 앞에 있는 애가 자꾸 다리를 떨어서 집중이 안 돼.,다리를 떠는 친구 때문에 집중이 안 되셨군요.
아 진짜 회사 가기 싫다.,회사 가기를 왜 싫어하시나요.
아내가 너무 성가셔.,그렇게 생각하시는 이유가 있나요?
남자친구가 날 안 좋아하는 것 같아.,왜 남자친구 분이 날 좋아하지 않는다고 느끼시나요?
벌써 세 번째 직장을 옮기다 보니 재취업이 될 수 있을까 좌절되네.,직장에서 어떤 문제가 있으셨던 건가요?
학교가기가 너무 무서워.,학교가는것이 왜 무서우신가요?
같이 일하는 회사 사수가 나에 대해서 안 좋게 소문을 내서 힘들어.,회사 사수 때문에 힘드시군요.
내가 볼땐 별로였는데 왜 그사람이 붙고 내가 떨어지지?,면접관이 인물을 볼줄 모르네요.
외상 후 스트레스로 너무 힘들어.,예전에 사고를 당하시고 많이 힘드시군요.
나를 괴롭히는 애들이 너무 싫어서 죽었으면 좋겠다고 빌었어.,아이들의 괴롭힘에 많이 지치셨군요.
남편 챙기기 귀찮아.,왜 그러세요?
친구 녀석에게 저녁값 한번 내라니까 엄청나게 툴툴대더라고.,친구분이 저녁 식사 계산 문제로 불만이 있으신가 보군요.
아내가 영양제를 너무 맹신해서 이번에 영양제 종류를 한 개 더 늘렸어 걱정이야.,아내 분이 영양제의 종류를 더 늘려서 걱정이시군요.
학교에 이상한 헛소문이 나서 보니 내 제일 친한 친구가 뒤에서 험담을 하고 다녔어.,친한 친구가 뒤에서 헛소문을 퍼뜨리고 다녀서 화가 나셨군요.
내가 괴롭힌 친구가 학폭위 신고했다는말을 들었다,그런일이 있었군요!
은퇴 빨리하라고 누군가 저주하는거 같아.,무슨일 있으셨어요?
아니 월급은 쥐꼬리만큼 주면서 일할건 왤케 많은거야?,화나신 이유를 물어봐도 될까요?
예전에는 생각도 좋은 생각만 하며 지냈는데 나이 들면서 불만이 많아졌어.,시간이 지나면서 툴툴대게 되었나요?
이제는 가발을 쓰고 잠을 자지 않으면 안심이 안 돼.,무엇이 마음에 안정을 느끼지 못하도록 만들었나요?
요즘 조급한 마음이 들어.,어떤 문제가 마음을 조급하게 만드나요?
이과장 때문에 열 받아.,무슨 일 있으셨어요?
재정에 악의적이게 돼.,무슨 일이 있나요?
나 지금 정말 못 견디겠어.,무슨 일로 그러시나요?
경로당 사람들이 내 만성질환에 대해 다 알고 있었어.,좀 더 자세히 말씀해주시겠어요?
큰딸이 이번에 대학진학 하는데 도대체 어쩌려는 건지 모르겠어.,따님이 학교 가는데 어떤 어려움이 있나요?
나 지금 너무 화가 나.,무슨 일 때문에 그러십니까?
열심히 직장 생활했다고 생각했는데 요즘 자꾸 좌절하는 기분이 드는 것 같아.,요즘 좌절하는 기분이 드나 보군요.
지하철 타고 오다가 짜증나는 노인이랑 한바탕 했어.,무슨 일이라도 있었나요?
엄마를 보기가 싫어.,특별한 이유라도 있으신가요.
돈이 안모여서 안달나.,돈이 왜 안모인다고 생각하세요?
친구를 괴롭히는 학교폭력을 보면 분노가 느껴져.,학교폭력을 보고 분노를 느끼셨군요.
제가 진로를 잘 정하실 수 있게 응원할게요.,내일이면 수능날인데 너무 불안해서 잠이 안 와.
삼십 대 중반이 넘도록 결혼을 하지 못해 좌절감이 들어.,시기를 놓쳐버린 것 같은 생각에 좌절감이 들 수도 있겠어요.
주식 투자하여 크게 실패를 본 때가 생각난다.,주식 투자하여 손해를 보신 적이 있어요?
남편이 예전에 가입했던 백 퍼센트 보장되는 실비보험을 해지하려고 해서 화를 냈어.,남편의 행동에 화가 나셨군요.
경로당 사람들이 내 만성질환에 대해 다 알고 있었어. 난 내 친구에게만 이야기 했는데 말야,당신의 비밀을 경로당 사람들이 다 알게 되었다구요?
내 아이가 성적을 너무 못 받아왔어.,자녀 분이 시험을 치셨나봐요?
오늘 화가 많이 났어.,무슨 일이 있으셨나요?
