P,S
살을 빼는 게 너무 힘들어서 울고싶어.,울고싶을 정도로 힘든가봐요.
아이를 낳았는데 산후 우울증이 너무 심해.,출산 후 우울증으로 마음이 힘드시군요.
친하게 지낼 수 있을 거 같던 친구가 오늘 다른 애들이랑 나를 따돌려서 너무 속상해.,친하게 지낼 수 있을 거 같던 친구에게 따돌림을 받아 속상하시군요.
만성질환이 있는데 노후준비가 되어있지 않아서 걱정이야!,의료비가 많이 필요할 텐데 걱정이겠어요!
취업에 환멸이 날 지경이야.,무슨 일이 있으셨나요?
결혼 준비 너무 지쳐서 힘들어서 눈물만 나고 다 그만두고 싶어.,혼자서 준비하시려니 힘드시겠어요.
자식들이 나 몰래 내 생명 보험을 더 가입해둔 사실을 알게 되어 절망스러워.,자식 분들이 몰래 생명보험을 들어놓은 걸 알게 되어 속상하시겠어요.
부모님의 기대는 끝이 없어,그치 한가지를 잘하면 또다른 한가지를 잘하기를 바라니까
회사에서 해고 당했어.,저런 많이 속상하시겠어요.
치매 초기라 나는 아직 멀쩡한데 자식들이 나를 요양원에 보내려고 해서 슬퍼.,자식들이 치매 걸린 분을 집에서 보기는 힘들 수 있어요.
요즘 친구들 사이에서 내 감정이 메마르고 이성이 마비된 느낌을 받아.,요즘 마비된 느낌을 받으신다니 최근에 무슨 일이 있으셨나요?
모아놓은 돈이 많지않아 노후가 걱정이야 몸도 아프고.,꾸준하게 건강관리하시고 아프면 바로 병원에 가셔야죠.
딸 성적 보고 머리가 마비될 뻔 했어.,왜 그러세요?
내가 신부전이 있어 아들의 신장을 받아야 하는데 너무 미안해서 아들 얼굴을 볼 수가 없어.,아드님에게 신장을 받아야 해서 미안한 마음이 크시겠어요.
회사에서 나의 공로를 인정하지 않아서 슬프고 감정도 삐뚤어질 것 같아.,공로를 인정받지 않아 슬프시군요.
칠십년 살아보니 사람을 믿느니 키우는 개를 믿는 게 낫다는 생각이 들어.,무슨 일이 있으셨어요?
아내와 나는 같은 식탁에서 밥도 먹지 않아,홀로 식사하시면  쓸쓸  하시겠어요
오늘 엄마한테 너무 심한 말을 한 거 같아.,오늘 어머니한테 심한 말을 하셨군요.
의사가 폐암으로 폐를 절제 해야 한다고 하니 걱정이야.,의사가 폐수술을 말하니 염려되시겠어요.
어제 우연히 친했던 동창을 만났어.,아주 반가웠었겠어요.
나이가 들어서 그런지 아픈 사람을 보면 눈물이 나.,감정이 풍부하세요.
취직만 하면 좋을 줄 알았는데 회사 생활에 너무 지치네.,회사 생활이 힘드신가 봐요.
지역할당제로 공기업에 취직했는데 퇴사하고싶어.,업무가 성격에 잘 안맞으시나봐요.
요즘 일이 너무 고돼.,업무량이 너무 많으신가요?
오랫동안 쌀 거래를 해온 아저씨한테 실망했어.,어떤 일이 있었나요?
친구 부모님이 돌아가셨대.,소식을 듣고 많이 놀라고 슬프셨겠어요.
나 오늘 엄마한테 언제까지 직장도 없이 용돈이나 받아 쓸 거냐고 잔소리 들어 너무 슬펐어.,엄마에게 직장이랑 용돈 때문에 잔소리를 들어서 슬프셨군요.
내가 이 회사를 계속 다녀야할까.,왜 그런 생각을 하셨나요?
존경하던 과장님이 알고 봤더니 회삿돈을 횡령하고 있었던 거 있지.,이중적인 상사의 모습에 사실에 당황하신 것 같아요.
오늘 학부모 면담이 있다고 해서 학교를 갔는데 딸이 나를 못 본체 하는데 슬펐어.,학교에서 딸을 만났는데 못 본체해서 많이 슬프시군요.
현재 직장에서 사 년 차 대리로 일하고 있는데 회사에 다니면서 대학원 공부도 하고 있고 아이도 키우고 있는 상황이야.,업무에 학업에 육아까지 하시느라 매우 버거우시겠네요.
매번 만나주지 않는 친구들 때문에 속상해.,왜 안만나주나요?
요즘 몸이 아파서 식단 조절해야 하는데 식단조절 할 필요가 없던 예전이 그리워.,식단 조절 때문에 우울하신가 봐요.
직장에서 내 생일이라고 이 나이에 생일 파티를 해준 것 있지.,생일축하라니 정말 좋으셨겠어요!
특별한 병이 없는데도 늙고 힘이 없으니까 아무 일도 할 수 없어.,나이가 들고 힘이 없으니까 아무 일도 할 수 없다고 느끼시는 군요.
나만 몇 년째 남자친구가 없어서 정말 자존심 상하고 속상해.,주변에서 혼자만 남게 된 것 같아 외로우시겠어요. 
내가 벌어오는 급여에 대해 아내가 돈에 대한 볼멘소리를 시작하고 있어서 배신감이 느껴져.,돈에 대해 전혀 신경 안 쓰는 것 같은 아내분이 불평불만을 해서 마음이 영 안 좋으시겠어요.
나이가 드니 주변에 친했던 사람들이 하나둘씩 떠나네.,가까우신 분과 이별하셨나봐요.
오늘 동아리 친구의 실체에 대해 알게 되어 너무 실망스러워.,친구에게 실망감이 드셨군요.
오늘 학교에서 가장 친한 친구의 이름을 학습지에 적으라 했는데 나는 못 적었어.,학습지에 적을 만큼 가까운 친구가 없어 외로우시겠어요.
보험설계사로 일하는데 딸이 이 직업이 부끄럽다고 해서 우울해.,따님이 부끄럽다고 해서 속상하시겠어요.
내가 암이라니 너무 비통한 심정이야.,갑작스러운 상황에 많이 놀라셨겠어요.
생일에 친한 친구한테 연락이 안 와서 실망했어.,친한 친구가 생일 축하 연락을 안 해서 상심이 크시군요.
평소에 건강 좀 챙길 걸 그랬어.,건강 관련해서 어떤 걱정 있으신가요?
병원에서 위암 진단을 받았어.,뭐라고 드릴 말이 없네요.
마흔이 넘으니 배우자가 너무 힘들어 해서 슬퍼.,어떻게 하면 좋을까요?
마흔 넘어서 낳은 자녀에게 너무 실망 했어.,어떻게 하면 좋을까요?
배도 많이 나오고 운동을 해야 하는데 시간은 없네.,업무가 매우 바쁘신가 봅니다.
코로나로 가게도 닫고 당분간 어떻게 지낼지 너무 답답하네.,재정상황 때문에 너무 답답하시겠어요.
평생 돈을 모아서 뭘 하겠어.,왜 그런 말씀을 하시는지 알수 있을까요?
자꾸 뒷머리가 띵하니 아프네.,언제부터 그러신 건가요?
오늘 면접을 봤는데 떨어졌지뭐야.,열심히 준비하셨던 면접이었어요?
결혼을 하고 나서 남편한테 실망스러운 일이 많아.,남편의 행동에 무슨 문제라도 있나요?
내 자식이 나보다 먼저 세상을 떠났다는 소식을 접해서 너무나 슬퍼.,자녀분이 세상을 떠나셔서 무척 슬프시군요.
오랜만에 친구를 만났어.,좋은 시간 보내셨나요?
언제부터인지 더 이상 일이 즐겁지 않게 느껴져서 우울해.,조금 더 자세히 말씀해 주시겠어요?
기억이 가물가물하고 주위에서 내가 같은 이야기를 반복한다고해서 치매 초기 진단을 받았어.,치매 초기에 약을 꾸준히 드시면 진행 상황을 늦출 수 있다고 해요.
재정문제로 비통해.,무슨 일인가요?
딸한테 혼자 건강검진 받기 무섭다고 같이 가달라고 했는데 거절당해서 속상해.,소중한 딸에게 거절당해서 속상하시겠어요.
취업이 안되니 그냥 포기하고 부모님 집에서 지내고 있어.,취업을 포기했다니 무기력해졌을 것 같아요.
요즘 피부에 탄력이 떨어진 게 눈에 띄네.,요즘 피부에 탄력이 떨어져 고민이신가요?
내 실력으로는 내가 원하는 학교에 갈 수 없어서 낙담했어.,원하는 학교에 가지 못해서 낙담했군요.
가정의 불화로 남편과 이혼을 조정하며 별거 생활을 하게 되었어.,남편과 별거 생활을 하게 되어 마음이 많이 힘드시겠어요.
사람들이 과연 나를 사랑해서 고백을 하는걸까요?,왜 그런 생각을 하게 된거죠?
아내 항암 치료에 우리 노후 자금이 거의 들어가서 많이 답답하네.,아내 분이 아프셔서 고민이 많으시겠어요.
따돌림을 보고 선생님한테 말할걸.,그냥 넘겼나요?
나이가 들어도 사람 사귀는건 쉽지가 않아서 우울해.,사람 사귀는 게 쉽지 않아 우울하시군요.
아이가 대학에 떨어졌어.,많이 힘드시겠어요.
여기 저기 아프다고 하는 아내를 그 전부터 잘 챙겨주지 못한 것이 후회돼.,많이 못 챙겨 주신 부분이 마음에 걸리시나 보네요.
나이가 들고 병이 들다보니 건강도 나빠지고 죽음이 다가 오니 세상이 나쁘게 보이고 부정적으로 보여.,아 그렇군요 지금 감정이 염세적으로 받아드려 지군요 그럼 어떻게 하면 괜찮아질까요?
아직 마흔 중반인데 회사에서 노인 취급이야.,많이 속상하시겠어요.
사람들은 왜 대인관계를 힘들어할까?,대인관계가 힘들지 않으신가요?
몸도 아프고 저축도 못했는데 앞날이 걱정이야!,여러 가지로 걱정이 되시는 군요.
아이가 친구를 때렸어.,아이의 행동으로 마음이 편치 않으시겠어요.
걔네가 시키는 대로 하는 것도 지쳐. 이젠 그냥 다 끝나기만을 기다리는 상황이야,뭐가 문제로 느껴지는 거에요?
교통사고로 사망한 아이의 시체를 보고서 나는 아무 말도 할 수 없을 만큼 너무 슬펐어,아이의 시체를 보고 충격을 받으셨을 것 같아요
돈이 없어서 슬퍼.,왜 돈이 없으세요?
월급도 제때 안 주고 야근만 주구장창 시키는 회사가 그냥 망했으면 좋겠어.,회사 때문에 힘들어서 부정적인 생각을 하게 되나봐요.
재정상태가 비통해.,왜 그러세요?
다음 달에 결혼하는데 기분이 좋지만은 않고 슬퍼.,결혼을 앞두고 계신데 왜 슬픈가요?
지금 너무 불행해.,불행한 이유를 알 수 있을까요?
저번에 아빠와 싸운 이후로 말을 안 해.,가족 간에 갈등이 있었군요.
요즘 코로나 때문에 밖에 못 나가서 사람들도 못 만나고 힘들어.,요즘 코로나 때문에 힘드신 일이 많죠.
너무 어린 나이에 멋모르고 결혼했나 봐.,결혼에 대해 어떻게 생각하셨는데요?
벌써 아이들이 많이 자랐어.,아이들이 많이 자란 것을 어떤 면에서 느끼시나요?
이번에 노인 일자리 지원했는데 안됐어.,너무 상심하지 마세요.
하루하루가 무료하여 그저 시간을 죽이고 사는 것 같아.,무료한 일상으로 기분이 많이 가라앉으신 상태인 것 같아요. 
노후준비를 한게 생각보다 잘 되지가 않아서 실망스러워.,노후준비가 잘 되지 않아서 많이 낙담 하셨군요.
딸이 결혼하는데 그동안 사랑한다는 말을 많이 못해줘서 후회되네.,딸에게 그동안 감정표현을 못한것이 후회되시는군요.
아빠는 자기가 불행한 게 전부 내 탓이라며 나를 때렷어 우울해.,아버지의 폭력때문에 우울 할 수 있어요.
내가 정말 믿고 따르던 선생님의 부고를 접하게 되니까 슬프다.,믿고 따르신 걸 보니까 제자들 사이에 덕망이 좋은 편이셨나봐요?
엄마는 내가 무슨 일이 있어도 참으라고만 해서 화가 나.,공감하지 않고 참으라고만 해서 많이 답답하셨겠어요.
남자친구가 헤어지재.,남자친구와 싸우셨나요?
진로를 생각하면 눈물이 나.,이유가 무엇인가요?
오늘 아침 일찍부터 소일거리가 있나 구청에 나가봤는데 내가 할 수 있는 일이 별로 없더라고.,아침 일찍부터 서둘렀는데 실망하셨겠어요.
그 직무를 수행할 때 더 많은 것을 배우지 못했던 게 너무 아쉬워.,그 직무에서 더 많은 것을 배우지 않았던 게 후회되시는군요.
동생분 하고 잘 얘기해 보시면 분명 화해하실 수 있을 거예요.,내가 학교 친구를 따돌렸는데 이제와서 그러지말껄 하는 생각이 들어.
담임선생님이 갑자기 전근을 가신다네,아!섭섭하겠네요
지금까지 모아놓은 돈은 없는데 회사가 상황도 안 좋고 걱정이야.,요즘 회사가 많이 안 좋은가 봐요.
재정적으로 실망했어.,왜 그러세요?
어렵게 시험 봐서 된 공무원인데 이렇게 후회스러운 줄 몰랐어.,공무원이면 모두가 부러워하는 직업인데 후회스러우세요?
이젠 학교가는 게 너무 슬퍼졌어.,선생님께 말씀드려보는건 어떨까요?
엄마가 이유 없이 화내는 것 같아서 속상해.,화를 내시는 이유를 여쭤본 적이 있나요?
나이가 들수록 절친했던 친구들을 볼 수가 없게 되어 눈물이 나.,친했던 친구들과 헤어지게 되어 슬프신가 봐요.
나이가 들고보니 대인관계에 환멸을 느껴.,어떤 부분에서요?
맹장 수술 때문에 학교를 빠져야 하는데 수업 진도가 너무 걱정돼.,맹장 수술 때문에 학교 진도를 걱정하고 계시네요.
