P,S
개방적이시군요.,지금 남자친구를 만나게 되어서 정말 다행이야.
군 입대 후 여자 친구에게서 처음으로 편지를 받았는데 너무 새롭고 흥분돼.,군대에서 여자 친구의 편지를 받으니 더 기쁘신가 보군요.
옆집에 새로운 노부부가 이사를 왔어.,새로운 이웃이 와서 좋으시겠어요.
정신 없이 취업준비를 해야 할 졸업 후인데 부모님의 지원 덕에 마음이 편하다!,쫓기든 취업하는 바쁜 시기에 여유가 생겨서 다행이에요!
난 매력적이지.,스스로 매력적이라고 느끼시는군요.
이제 오십인데 건강검진에서 온갖 성인병에 다 걸렸어.,건강에 이상이 생기셔서 언짢겠네요.
내 동생은 이런 간암 가지고는 끄떡없을 것이라고 생각해.,동생 분은 간암으로 끄떡없을 것이라고 생각하셔서 기쁘시군요.
오래 고민하다가 전공을 바꾸기로 결정했어.,전공을 바꾸기로 마음 먹으셨군요.
이제 인간관계에 느긋해지기로 했어.,무슨 일 있었나요?
이 나이 먹다보니 몸과 마음이 따로 움직일때가 많아.,나이가 들고 몸과 마음대로 되지 않으시군요.
이제 다시 건강해져서 다행이야.,원래 어디가 안 좋았나요?
아내분도 그 마음 알아주실꺼에요.,오늘부터 여자친구랑 사귀기로 했어.
나도 이제 은퇴를 해야겠어.,벌써 하시게요 노후준비는 하셨나요.
오늘 옆집에 사는 사람이랑 싸웠어.,무슨 일 때문에 싸우셨나요?
근력운동을 열심히 했더니 못 들던 무게도 들 수 있게 되었어.,노력의 성과가 보여서 기쁘시겠어요.
성적이 올랐어.,얼마나 올랐나요?
우리학교는 학교폭력이 없어.,그렇게 생각하시는 이유가 있나요?
가족들과 있으면 편안해.,가족들이 편하게 만들어 주나요.
친구가 좋은 사람과 연애하는거 같아 다행이야.,친구분 연애로 걱정이 많으셨나봐요?
며느리 덕분에 오랜만에 쇼핑을 했어.,그러고 나니 기분이 어떠세요?
이번에 새로 취업한 직장이 너무 마음에 들어서 신이 나.,새로 취업한 직장이 마음에 드신다니 정말 기분이 좋으시겠어요.
우리 동아리가 우수 동아리로 백만 원을 받게 되어서 너무 기뻐.,백만 원이라니 너무 기쁘시겠어요.
어릴 때부터 친하게 지낸 삼촌이 있는데 삼촌한테 고민거리를 털어놓을 수 있어서 좋아.,고민을 함께 이야기할 수 있는 삼촌이 계시는군요.
애들이 다 커서 돈을 모아 나한테 선물을 줬네.,선물을 받아서 기분이 좋으시겠어요.
대학교를 졸업한 큰아들이 얼마 안 지나서 좋은 회사에 취업을 해서 기뻐.,큰아들이 바로 좋은 회사에 취업을 해서 기쁘군요.
난 고혈압이 있지만 건강하게 남은 삶을 살 자신이 있어.,고혈압이 있어도 건강하게 살 자신이 있으시군요.
어린 사촌동생이 자는 모습을 지켜보았는데 너무 예쁘더라.,사촌동생의 자는 모습이 예쁘셨군요.
그녀도 나와 같은 마음 이었다는 사실을 알게 되자 마음이 편안해 졌어.,그녀의 마음을 알게 되어 편안함을 느끼셨군요?
나는 나의 선배를 믿을 수 있어.,선배를 믿는 특별한 이유가 있으신가요?
나이에 비해 두피와 모발이 아주 건강하다는 얘기를 들어서 아주 기분이 좋아.,나이에 비해 건강하다니 정말 기분이 좋으시겠어요.
몸이 안좋아서 건강검진받았는데 결과가 잘 나와서 만족해!,무슨일 있으셨어요?
남편은 항상 출근전에 나에게 사랑한다고 말해줘,덕분에 항상 따뜻한 아침을 맞이하시겠는걸요?
이 나이에도 챙겨주는 친구가 있다는게 참 고맙네.,좋은 친구가 있어 감사하는 마음을 갖고 계시는군요.
건강 검진하기 전에 너무 무서웠고 이런 걸 왜 해야 하지 하는 생각이 들었던 것 같아.,무서운 감정이 느껴졌나 보군요.
나는 가족들에게 비밀이 없어.,가족에게 비밀이 없나요.
아이들이 다 커서 이제 자신들이 할 수 있는 일들을 찾아서 하고 있어.,아이들이 자신의 일들을 찾아하고 있군요.
오늘 시험 결과가 나왔어.,결과가 어떻게 됐어요?
내 친구 드디어 결혼한데.,친구분이 결혼하셔서 흥분하셨나봐요?
부모님이 내 말을 잘 들어주셔서 만족스럽고 행복해.,가족관계가 화목해서 행복하시군요.
관절 통증이 줄어 가족들과 여행가기로 해서 기뻐.,통증이 줄어 여행가니 기쁘군요.
수지는 성격이 특이하지만 내게 관심 많이 가져줘서 좋아.,수지가 좋은 사람인가 봐요.
저번에 슈퍼 주인아저씨가 쓰러졌을 때 도와줬더니 오늘도 콩나물을 덤으로 엄청 주셨네.,도와준 답례를 받아 기분이 좋으시겠어요.
고백에 성공했어!,고백을 받아주셨나 보네요.
우리 회사는 수평적인 관계를 지향해.,수평적인 관계를 지향하면 회사 분위기가 좀더 편하겠어요.
그동안 열심히 살았더니 돈 도 꽤 모였어.,열심히 산 보람이 있으실 것 같아요.
오랜만에 부모님이랑 만나게 되었어.,그동안 부모님이랑 잘 보지 못했군요.
아들이 고혈압 치료비로 쓰라고 통장에 돈을 많이 넣어주어 다행이야.,아들이 치료비를 통장에 넣어주어 다행이에요.
내가 병이 있는데 딸 덕분에 잘 치료받을 수 있을 거 같아.,따님 덕분에 제대로 된 치료를 받게 되셨군요.
이제 은퇴도 했으니 재정에 목매이지 말고 느긋하게 살래.,은퇴는 언제 하셨어요?
학교에서 폭력을 당한 아이들이 부모님을 모셔왔어.,친구분들이 부모님을 모셔 오셨군요.
어제 건강 검진 했는데 아주 깨끗하대.,검진 결과가 잘 나와서 좋으시겠어요.
내 친구는 아주 작은 일에도 성실하게 임하는데 세상에 그만한 사람이 없다고 생각해.,아주 작은 일에도 성실하게 임하시는 친구분에 대한 신뢰가 두터우시네요.
회사 사람들과 잘 맞는 것도 참 감사한 일인 것 같아.,조금 더 자세히 말씀해 주시겠어요?
매일 먹었던 한약 덕분에 소화불량이었던 체질이 개선되었어.,소화불량이 나았다니 다행입니다.
재정이 편안해서 너무 좋아.,재정이 좋은 비결이 있으신가요?
이번에 국가에서 나의 질환에 대한 보험 보장을 늘려준대 .,경제적인 부담을 줄일 수 있어서 다행이네요.
선생님이 내 고민을 진지하게 들어주셔서 너무 감사해.,선생님께서 고민을 들어주셔서 기쁘시겠어요.
내가 지금 꿈을 위한 준비를 잘 하고 있다는 생각이 들어.,꿈에 대해 잘 대비해나가고 있으시군요!
노인정 박 씨가 관절염에 좋다고 준 약을 챙겨 먹었더니 통증이 사라져서 너무 기뻐!,지인분이 주신 약으로 관절염이 나아져서 기쁘시군요.
지금껏 저축한 돈으로 내 여생을 행복하게 보낼 수 있을 거란 확신에 아주 기뻐.,열심히 저축하신 돈으로 행복한 여생을 꿈꾸실 수 있어 기쁘시군요.
아이들도 다 커서 각자 일을 알아서 하니 기분이 좋아.,아이들이 각자 일을 하니 기분이 좋으시군요.
이제 취업하고 나니까 마음이 너무 편안한 거 있지.,취업 준비로 많이 고생하셨을텐데 그러시다 하니 저도 기뻐요.
어떻게 하면 아프지 않고 잘 죽을 수 있을까?,어떻게 죽음을 맞이하고 싶으세요?
엄마가 나한테 화가 안풀리셨나봐.,혹시 두 분 싸우신건가요?
드디어 오늘 프로포즈하고 승낙도 받고 끝이 나 마음이 편해.,프로포즈를 성공해 마음이 놓이시겠어요.
내가 이번주에 친구들한테 한턱 쏘기로 했어,친구분들이 정말 좋아하겠는걸요!
갑작스런 수술 진행에 큰 돈이 필요했는데 장롱 속에 넣어둔 돈으로 수술을 받을 수 있었어.,급전이 필요해 당황하셨을 텐데 정말 다행이셨겠어요.
내가 여유가 있어서 자식들이 문제가 생겼을 때 종종 연락이 오더라고.,조금 더 자세하게 말씀해주시겠어요?
오늘 건강 검진 결과를 받았어!,오 어떤 결과를 받으셨나요?
이제야 어떻게 공부해야 할지 좀 알 것 같아.,어떤 계기라도 있으셨나요?
항상 감사하면 살고 있어.,그렇게 생각하시는 이유가 있나요?
자식들도 잘 자라고 가정도 꾸려서 대가족이 됐어.,장성한 자녀들을 보시면 행복하시겠어요.
아주 만족해.,어떤 점이 만족하시나요.
철수는 참 믿음직스러워.,철수를 신뢰하게 된 계기라도 있나요?
건강에 대해 느긋하게 대하려고.,어떤 면에서요?
이번 기말고사 성적이 잘 나와서 너무 기뻐.,기말고사 성적이 잘 나와서 기쁘셨군요.
오늘 내가 가장 원하던 대학교로부터 합격 전화를 받았어!,원하는 대학교에 합격하셨다니 정말 기쁘시겠어요!
학교에서 친구들에게 따돌림을 당했는데 선생님께 도움을 요청해서 일이 잘 해결되었어.,일이 잘 해결되었다니 다행이네요.
최근 새로운 모임자리에 들어갔는데 사교성도 좋고 나랑 정말로 잘 맞는 사람들을 만났어.,모임자리에서 사교활동을 하시다 보니 기분이 정말 좋았겠어요.
추석에 딸이 건강하라고 선물을 사줬어,기분이 정말 좋으시겠요 어떤거를 사줬어요?
암이 완치된 후 농촌 생활을 하면서 농작물을 기르면서 지내고 있는데 너무 좋고 편안해.,농촌 생활이 잘 맞아 편안하시군요.
은퇴가 얼마 남지 않았는데 모아 놓은 돈이 적어 노후를 어떻게 보내야 할지 걱정이야.,모아 놓은 돈이 많지 않아서 불안하신 것 같아 보여요.
내가 일 반이 아니라 참 다행인것 같아.,왜 다행이신가요?
내가 모아둔 노후 자금도 있는데 내 자식들이 따로 용돈도 주니 행복하게 지내고 있어.,자식들이 용돈까지 주시니 더욱 행복하고 풍요롭게 지내시겠군요.
아직 쪽지시험까지 시간이 많이 남아서 공부한 내용은 다시 복습해야겠어.,쪽지 시험까지 시간이 많이 남아 복습을 하시려고 하시는군요.
오늘 체육 시간에 달리기 기록을 쟀는데 평소보다 잘 나와서 기뻐.,달리기 기록이 빠르게 나왔다니 어떻게 잘 나올 수 있었나요?
야채 파는 박 씨가 내가 아플 때 날 챙겨주어서 너무 감사해.,아플 때 챙겨주는 사람이 있다면 정말 기쁠 것 같아요.
오늘 수민이가 나한테 사과를 했어.,두 분이 무슨 문제가 있으셨나요?
동호회에서 새로운 친구들을 사겼는데 너무 잘 맞아!,동호회에서 새로운 친구들을 사겨서 기분이 좋으신가봐요!
이번엔 아기집이 잘 자리잡은 것 같아 다행이야.,병원에서 검사 받고 오셨나요?
우리 가족들이 너무 좋아.,왜 그러세요?
요즘 야근이 잦아서 너무 스트레스받아.,업무적으로 아주 힘드시군요.
학교에 나를 괴롭히는 애들이 없으니 이상하네?,사용자님의 기분을 조금 더 자세히 이야기 해보시겠어요?
나이가 들어가면서 여러 생각을 했는데 늙어간다는 게 꼭 나쁜 것 같지 않아.,조금 더 자세하게 말씀해주시겠어요?
나 다음달에 결혼해.,다음 달에 결혼 하신다고요?
내가 새로운 프로젝트를 주도하게 되었다니 믿을 수가 없어.,프로젝트를 주도하게 되면 정말 기쁘실 것 같아요.
노후준비를 완벽하게 해놔서 너무 만족스러워.,완벽하게 준비 해놓으셨다니 정말 마음 놓이시겠어요.
난 친구도 많고 노년이 편안하고 만족스러워.,노년이 편안하신가요?
회사 건강검진에서 결과가 좋게 나왔어.,그럼 정말 다행이군요.
동호회에 가입했는데 고향에 온 듯 마음이 편안해.,동호회 회원들이 편안하게 대해 주시나 봐요.
나 오늘 모의고사에서 만점 받았어.,만점을 받아서 기분이 좋으시겠어요.
내가 사는 동네 사람들은 내가 어려울 때면 분명 돈을 빌려줄 거야.,같은 동네 분들이 힘들 때 도와주실 거라는 확신에 기쁘시고 든든하시겠어요.
난 요즘 우리 부모님에게 감사해.,어떤 면에서 감사함을 느끼는 건가요?
난 노후 걱정 안 해.,잘 준비 해놓았나 봐요.
오늘 하루가 너무 재미있었어!,기분 좋으신 일이 있으셨나 봐요.
내일은 수학여행을 가는 날이야.,수학여행 간다니 기분이 어떠세요?
이제는 계획했던 임신을 해도 되겠어.,결정을 내린 이유가 무엇인가요?
신규사업부를 맡으라고 해서 자증이 났는데 그 사업을 철수하기로 했대.,신규사업부가 철수되어서 기분이 좋으셨겠어요.
시험이 끝나서 드디어 놀러 갈 수 있게 되어서 신나.,그동안 공부만 하다가 놀러 가게 되어서 매우 신나시겠네요.
오늘 좋은 일이 있을 것 같아.,어떤 좋은 일인가요?
그동안 모았던 적금 만기가 내일이야.,엄청 뿌듯하시겠네요.
이번에 검진 받았는데 고혈압이 계속 비슷한 수준으로 나오고 있네.,건강에 대해서 많이 걱정되시겠어요.
이 나이에 좋은 제안이 들어와서 이직 할 수 있었어.,다행스런 일이네요.
드디어 기다리던 방학이 다가온다.,기다리던 방학이 다가와서 기쁘시겠어요.
오늘 내 건강상태를 보고 충격받았어.,왜 그러세요?
나를 괴롭히던 친구가 전학을 가.,그거 참 다행이네요.
남편 사업이 잘되어 전보다 수입이 배로 늘었어.,수입이 늘어 기쁘시겠네요.
이번 하반기 때 우리 부서가 만족스러운 결과를 거두어서 정말 기뻐.,부서가 만족스러운 결과를 거두어서 기쁘시겠어요.
회사에서 동료들과 지내는 데 너무 재밌어.,동료분들 덕분에 회사생활이 즐거우시군요.
남편이 은퇴 후에 장사를 하고 싶다네.,그 말을 들었을 때 어떤 생각이 제일 먼저 드셨어요?
남편과 자녀들 모두 돈을 잘 벌어서 경제적으로 부담이 안 가서 기쁘네.,남편과 자녀 모두 믿음직스러워서 기쁘시겠어요.
건강은 좋아질 수도 있고 나빠질 수도 있는거지.,건강문제에 대해 조급하지 않으시네요!
오늘 병원의사를 만나서 건강상담을 했는데 건강유지하려면 꾸준히 운동만하면 된다니 기분이 좋아.,건강상담에서 운동만 꾸준히 해도 건강이 계속 유지될거라고하니 기쁘겠어요.
다리 재활 치료가 힘들 때 아내가 손을 잡아주면 편해져.,다리재활치료를 할 때 아내가 손을 잡아주면 편해지시는군요.
회사에 큰 업무 사고가 일어났어.,업무적인 사고 인가요.
고혈압이 생긴지 오래되었는데 그래도 다행이야.,어떤점이 다행인가요?
내가 결혼 전에 넣은 연금보험이 이제 만기가 되었어.,축하드립니다!
성적이 올라서 칭찬을 받았어.,누구에게 칭찬을 받았나요.
걱정했던 프로젝트 단번에 승인 받았다!,걱정스러웠던 상황이었다니 정말 기쁘시겠어요!
내 주변에는 정말 좋은 사람이 많은 것 같아.,주변에 있는 좋은 사람들의 어떤 점이 좋으신가요?
요즘 진로에 대한 고민 탓에 힘들었는데 선생님께서 조언을 해주셨어.,선생님께 감사하시겠어요.
오늘 가족 다같이 외식을했어.,식사는 맛있게 하셨나요?
이젠 느긋하게 사려고.,그렇게 생각하시는 이유가 있나요?
이번 추석에 딸이 나 건강하라고 아주 비싼 홍삼액을 사다 줬어!,따님이 홍삼을 사주어서 기분이 좋으시겠어요.
친구의 권유로 운동을 꾸준히 하니 몸이 많이 좋아져서 정말 기뻐.,꾸준한 운동을 통해 몸이 건강해지셨다니 정말 다행이에요.
