P,S
자식들은 재산을 차지하고 싶어서 내가 빨리 죽길 바랄 거야.,자식들의 재산 욕심으로 인해 매우 속상하시겠어요.
내 남편이 나와 가장 친한 친구와 바람을 피우는 것을 나만 모르고 있었다는 게 충격이야.,생각만 해도 충격적인 일이네요.
운동회인데 기분이 너무 좋지 않아. 우울해,무슨일인가요?
친구 앞에서 망신을 당했어.,많이 당황스럽고 부끄러우셨겠어요.
십 년 전만해도 기부를 했는데 이제는 내가 기부를 받고 있는 처지가 되었으니 허망하고 속상하네.,현재 기부를 받고 있는 것이 속상하셨군요.
알려준 지시사항대로 수정한 건데 기안서를 다시 올리라는 말에 크게 당황했어.,기안서를 다시 내라는 말에 당황스러우셨군요.
해달라는 대로 자식들을 해외 유학을 보내줬는데 빚만 잔뜩 생겨 당황스러워.,그런 상황이 생겨 많이 낙담하시겠어요.
어제 부하 직원이 술 취해서 심하게 주사를 부려서 너무 당혹스러웠어.,부하 직원이 주사를 부려서 당혹스러우셨군요.
이직하려고 하는데 전 직장에서 연봉협상을 제시하네.,연봉협상에 응하실 생각인가요?
오늘 당황스러운 일이 생겼어.,무슨 일이신가요?
가족들이 나만 소외시키는 느낌이 자꾸 들어.,왜 가족들에게서 소외당하는 느낌이 드시나요?
아프니까 도와줄 사람도 없고 힘들어.,형편없는 인간관계로 인해 외로움을 겪고 있으시군요 괜찮으시다면 제가 말동무가 되어 드릴게요.
어제 아이에게 크게 소리를 질렀어.,왜 아이에게 소리를 지르셨나요?
이제 은퇴가 얼마 남지 않았는데 노후 준비가 되지 않아서 걱정이야.,노후 준비가 되지 않아서 걱정이시군요?
내년 초에 결혼한다던 우리 아들이 아픈 나를 간호하겠다며 결혼을 포기했대.,아드님이 결혼까지 포기하고 병간호를 한다고 하셔서 속상하셨군요.
내 친구랑 대화하다가 엄청나게 실망했어.,어떤 대화를 하셨는지 설명해주실 수 있으세요?
일하는 중에 휴대폰이 울려서 너무 창피하네.,휴대폰 소리 때문에 갑자기 부끄러워졌겠어요.
복지관에서 만난 이성친구가 있는데.,친구분이 많이 마음에 드셨나 봐요.
노인이 되고 몸이 아프니 외로워.,건강때문에 그런 생각을 하시나요.
만성질환 까지는 아닌대 대인관계가 안좋아.,무엇 때문에 그러시는건가요?
요새 너무 외로워.,그렇게 생각하시는 이유가 있나요?
친구가 없어서 혼자 있을 때 너무 심심해.,혼자 있으면 심심하시겠어요.
돈이 없으니까 자꾸 남이 신경쓰여.,왜 신경쓰이나요?
결혼은 혐오스러워.,그렇게 생각하시는 이유가 있나요?
자식 신세를 져야하는 노후준비가 부끄러워.,노후에 자식 보호를 받는데 괜찮으세요.
내년에 은퇴인데 모아둔 돈이 너무 적은거같아.,노후자금이 걱정이신가봐요.
집에서는 고집불통에 까칠하기만 한 아이가 학교에서는 말도 없고 내성적이라니,아이의 알지 못했던 모습에 당황하셨군요
오늘 병원을 다녀온 뒤로 너무 혼란스러워.,무슨 일이 있으셨나요?
지난해에 갑작스럽게 지인의 부고를 받은 적이 있어.,무척 놀라셨겠어요.
출근을 하지 않으니 아내가 밥도 차려 주지 않네.,어떤 마음이 드시나요?
친구가 오늘 갑자기 집에 와서 당황스러웠어.,오늘 친구분이 집을 갑자기 오셔서 많이 당황스러우셨나보군요 그래서 오늘 뭐하고 보낼 생각이신가요?
요즘 집에서만 운동하고 있어.,왜 집에서만 운동하고 계세요?
재정적으로 열등감이 들어.,왜 그러세요?
여자친구가 나보다 키가 훨씬 커서 사람들이 자꾸 쳐다보는 게 불편해.,남의 시선에 위축되신 것처럼 보여요.
모임에 가면 다들 나만 쳐다보는거 같아.,왜 그렇게 생각하시나요?
발을 삔것도 아닌데 자고 일어났는데 갑자기 발목이 아프네.,최근에 다치거나 가거나 무리한 운동을 한적은 없나요?
친구가 나를 위해 밥을 산다고 해도 나도 모르게 짜증이 나.,짜증이 난다니 많이 힘드시겠어요.
팀 동료 일하는게 한심해서 아주 스트레스 받고 있어.,직장에서 동료 때문에 스트레스를 받으셨군요.
저축해놓은 자금이 없어서 부끄러워.,왜 부끄러우신가요?
직장에 취업했는데 지원했던 부서가 아닌 다른 곳에 발령을 받아서 당황했어.,지원한 부서 말고 다른 곳에 발령을 받아 혼란스러우시군요.
죽음이 너무 싫어.,왜 그러세요?
옆집 철수엄마는 이번에 자식들한테 한우를 줬는데 나는 수중에 돈이 별로없어서 자식들한테 뭘 해주질 못했어.,자식에게 뭘 해주지 못해 많이 슬프셨겠어요.
이 나이가 되도록 연애도 못 해보고 정말 한심하지 않아?,연애를 못 해보셔서 한심하게 느끼시나요?
남편이 출근할 때마다 뽀뽀를 하는데 아이들 앞이라 부끄러워.,남편의 아침 뽀뽀가 아이들 앞이라 부끄러우시겠네요.
우리 부서에 박 대리는 일도 제대로 못하면서 온갖 아부로 대표님한테 잘 보이려고 해서 얄미워.,동료의 얄미운 행동으로 회사 생활이 불편하셨군요.
건강을 과신해서 관리 안하던 친구의 장례식에 다녀왔어.,장례식에 다녀오셨군요.
노인정에서 김 씨 수술비를 위해 모금을 할 때 내지 않았는데 김 씨가 결국 세상을 떠났어.,주변 사람이 세상을 떠나 마음이 안 좋으시겠어요.
나에게는 사랑하는 사람이 있는데 주변 사람들이 그를 부정적으로 바라봐서 혼란스러워.,조금 더 자세히 말씀해 주시겠어요?
회사에 신입이 나보고 어느 대학을 나왔냐고 물어봤는데 부끄러워서 대답을 못 했어.,당황스러우셨겠어요.
돈 때문에 고민이야.,무슨 일이 있으셨나요?
사귀는 사람한테 결혼하자고 하니까 강남 아파트랑 외제차 그리고 명품백을 사달라고 하더라.,상대방이 많은 요구를 해서 부담스럽겠어요.
아직 나이가 어린데 주변 어른들이 자꾸 결혼을 강요하고 있어.,결혼할 생각이 없으신 건가요?
최근에 이직을 했는데 새로운 직장의 직원들이 나에게 텃세 아닌 텃세를 부려서 당황스러워.,이직한 곳에서 동료 직원들의 태도가 좋지 않아 많이 당황스러우셨군요.
내 재정상태가 너무 싫어.,왜 그러세요?
친구 취업 면접에 내가 자기소개서를 써줬는데 떨어졌어.,친구 취업 면접에 자기소개서를 써줬는데 떨어졌군요.
이제 가족한테 내가 해고된 걸 들킨 것 같아서 집에 들어가기 부끄러워.,강제로 회사를 나가게 된 사실을 직접은 전달 못하셔서 부끄러우셨군요.
딸아이 학원을 몇군데나 보내는데 성적이 오르질 않아,아이 성적이 오르지 않아 걱정이겠네요
노인정의 할머니들은 모두 자식들 자랑을 늘어놓았어.,자식들 자랑에 내심 속상하였겠어요.
중환자실에 연명하고 있는 환자를 생각하면 절망스러움이 느껴져 ,중환자실의 환자들을 보면 마음이 아프시군요.
돈을 꽤 모아놨다고 생각했는데 통장정리해보니 잔고가 없어.,잔고가 어디로 갔는지 알아내셨나요?
큰돈을 주고 건강기능식품을 샀는데 사기였어.,건강을 위해 큰 지출을 하셨는데 모두 거짓말이었다는 사실에 화가 나시겠어요.
요즘 은행 금리가 너무 낮아서 저축으로는 돈 모으기 어렵고 부동산 투자를 하고 싶은데 주변 사람들은 부동산 투자를 투기라고 안 좋은 시선으로 보니 해야 할지 고민이야.,부동산 투자를 해야 할지 고민하고 계시는군요.
취업 기간이 길어지니까 외로워.,속상하겠네요.
소개팅을 다녀왔는데 나의 첫인상을 안 좋게 본 것 같아.,매우 속상하셨겠어요.
매달 큰 병원비가 나와서 자녀들에게 말해야 되는데 이런 내가 부끄럽고 싫어.,병원비 때문에 힘드시겠어요.
오빠한테 실수로 내 웃긴 사진을 보냈는데 엄청 놀려서 창피해.,오빠에게 실수로 웃긴 사진을 보내 창피하시겠어요.
요즘 친구 관계 때문에 힘들어.,친구와 무슨 일로 이렇게 고민하고 계시는 건지 이야기해 줄 수 있으세요?
내가 이런 대접을 받으면서 이 회사를 다녀야 하나 생각이 들어.,아주 안 좋은 일이 있으셨나 봐요.
학교 폭력 현장을 목격하고 신고했음에도 불구하고 그 친구가 사실을 부정했다는 것에 놀랐어.,직접 목격한 것을 부정한다니 많이 당황스러우시군요.
내가 다니는 학교가 먼 곳에 있어서 나 혼자 자취를 하는데 부모님과 친구들이 보고싶어.,학교 때문에 혼자 자취를 해서 외로우셨겠군요.
내일 음악 가창시험이 있는데 생각만 해도 창피해.,친구들 앞에서 노래부르는 것이 부끄러우신가봐요.
이 나이 먹고 아무것도 안하고 있으니 부끄러워.,직장은 안 다니세요?
요즘에는 젊은 사람들 보면 다 부러워.,왜 젊은 사람들을 보면 부러우신지 얘기해 줄 수 있어요?
옆 침대의 환자가 나보다 늦게 입원했는데도 퇴원은 나보다 빨리 해서 열등감이 들어.,다른 환자에 비해 오래 입원하시는 것 때문에 속상하신가 봐요.
학교 축제 무대에 오르니 너무 긴장이 돼서 당황스럽더라고.,축제 무대에서 긴장으로 당황하셨군요.
내년이면 고등학생인데 부모님은 아직 내가 어리다고 하셔.,어른들 눈으로 보면 그럴 수도 있겠네요.
남편과 아들이 심하게 싸웠는데 누구 편을 들어야할 지 몰라서 답답해.,누구 편을 들어야할 지 몰라서 답답 하시군요.
힘내시고 잘 이겨내실 거라 믿어요.,결혼을 못하는 내가 한심해.
이번에 아들이 결혼해.,아드님이 결혼하시는군요.
야간근무인 줄 알고 집에 있었는데 갑자기 주간 근무라고 전화가 왔어.,야간에서 주간으로 갑작스럽게 스케줄이 변경되어서 당황스러우시겠어요.
집안 형편 생각하면 취업을 해야 하는 게 맞는데 언니가 돈 걱정 하지 말고 하고 싶은 공부 하래.,취업과 학업 중에서 고민 중이시군요.
내 동기가 승진을 했어 정말 우울해.,동기분이 먼저 승진해서 속상하셨겠어요.
아들은 나의 느린 행동을 못 마땅하게 여겨,아들이 나의 느린 행동을 못 마땅하게 여기는군요
최저 임금도 많이 안오르기로 했는데 갑자기 직원들이 월금 인상 해달라고 하면서  파업까지 했어,직원들의 파업 때문에 많이 당황 스럽겠어요
오늘 학교에서 선생님과 진로상담을 했는데 나한테 독설을 퍼부어서 증오스러워.,예민한 마음에 좋지 않은 말까지 들어 많이 속상하셨겠어요.
재정이 좋지 않으니 자꾸 남의 시선을 의식하게 되는 것 같아.,재정 문제로 남의 시선이 의식되시는 군요.
재정적으로 남이 신경쓰여.,왜 그러세요?
퇴직 이후에 사람들에겐 사업 준비 중이라고 하지만 계속 집에서 놀고만 있어.,퇴직 이후에 집에서 놀고 있는데 사람들에겐 거짓말을 하셨군요.
지난번 아침에 지각할 것 같아 뛰어가야 했거든.,에고 많이 늦으셨나요?
대인관계에 죄책감이 들어.,왜 그러세요?
많이 힘드셔도 그 날이 얼른 오길 바래요.,"오늘 친구들이 나의 얼굴을 놀리면서 책상에 ""돼지""라고 써놓았어."
중소기업에 취직해서 부끄러워.,왜 그런 감정이 드셨나요?
교복이 많이 작아졌네.,교복이 왜 작아졌나요?
학교에서 희망진로 적으라고 했는데 고민이야.,어떤 고민인가요?
내가 선생님과 통화하는 걸 들었나봐.,그래서 어떻게 하셨나요.
엄마 지갑에서 만 원 꺼냈는데 미안하게 동생이 오해받고있어.,앞으로 어떻게 하실 생각인가요?
은퇴하고 만성질환으로 병원에 입원해 있어.,병원에 입원에 계시는군요.
누나의 친구들이 내가 중간고사 커닝한 걸 알고있어 괴로워.,누나 친구들이 커닝한걸 알고있어 괴로우시군요.
있는줄 알았는데 통장에 돈이 없어서 당황했어.,통장이 비어있어서 많이 놀라셨겠어요?
내가 공부를 안하고 있는 것 같아서 죄책감이 들어.,공부가 하기 싫으세요?
가족관계에 죄책감이 들어.,어떤 이유인가요?
이번 시험을 너무 망쳐버렸어.,성적 때문에 고민이 많으신가 보군요.
재정적으로 고립된 기분이야.,왜 그러세요?
내가 오늘 회사에서 그만 실수를 했어.,어떤 실수를 하셨는지 말씀해 주실 수 있으세요?
오늘은 출근길이 왜 이렀게 힘들지,잠을 설치신 모양이네요
정말 고민이야.,무슨 일이세요?
언제나 내 아래라고 생각했던 친구가 노후 준비를 철저히 하고 있었어.,친구분이 준비를 잘하셨나 보네요.
어제 어머님께 너무 상처 준 거 같아.,무슨 일이 있으셨나요?
같은 직종에 있던 친구가 그만둬서 업무 관련 고민을 털 곳이 사라졌어.,고민을 공유할 곳이 없어 아쉽겠어요.
손가락이 아픈데도 참았는데 미련스럽게 버텼던 것이 후회가 돼,아프신데도 미련스럽게 버텼던것이 후회가 되시네요
내가 서투른 것에 대해 못 참는 남편이 화를 내,서투른 행동에 남편이 화를 내서 속상하시군요
계속 늙어 가는데 내 아이들에게 미안한 마음만 들어.,자녀들과 무슨 문제가 있는 건가요?
곧 은퇴하는데 노후준비가 어려워서 고립된 느낌을 받아.,지금이라도 차근차근 준비해보시는게 어떨까요?
직장 상사랑 출장 가게 되었는데 갑자기 나 혼자 가라고 하시네.,갑자기 혼자 출장을 가게 되셨군요. 
나이 들면서 당황스러운 경험을 한 적이 있어.,어떤 경험을 하셨나요?
감기약을 받았는데 알약이 열 개가 넘어서 당황스러워.,감기에 걸려 힘드시겠어요.
이제 갱년기가 오는지 요실금이 너무 걱정되네.,저런 혹시 불편을 겪고 계시나요?
한심하다,맞다
내가 괴롭히던 친구가 자퇴를 한다고 해서 너무 미안해.,친구가 자퇴를 해서 슬프겠어요.
내가 아플 때는 도와주지도 않던 남편이 언니한테는 약도 보내고 안마기계도 보내주었어.,많이 속상하셨겠군요.
자가격리를 하게 되었는데 나가서 볼 일이 많아서 당황스러워.,업무를 처리할 다른 방법이 있을까요?
갑자기 청혼 프로포즈를 받았어.,원래 계획에 없으시던 프로포즈인가요?
회사 일이 많아 너무 힘들어.,회사 일이 많아 스트레스를 받으시는군요.
안면홍조가 점점 심해져 부끄러워서 자꾸 거울 앞에서 내 모습을 가리고 싶어져.,안면홍조 때문에 고민이 많으시군요.
몇 년 동안 성적이 일정해서 고민이야.,어떤 공부 방법을 가지고 있나요?
직장 후배가 너무 한심해.,무슨 일이 있으셨나요?
학교에서 따돌림을 당하고 있어.,상심이 크시겠어요.
노인분들 봉사를 하러갔는데 어떤 할머니를 보고 부끄러웠어.,할머니에게 왜 부끄러움을 느꼈어요?
벌써 고등학생인데 남들보다 공부속도가 많이 떨어져.,남들에 비해 열등감을 느끼실 수 있겠어요.
나는 아직 죽지 않았는데 자식들이 재산을 당장 달라고 해서 머리가 아파.,자식들이 재산 욕심이 많아서 걱정이시군요.
좋아하는 여자애한테 고백편지를 쓰는데 형이 뺏어갔어.,형이 뺏어갔다니 너무 놀랐겠어요.
내가 뇌척수막염 때문에 말만 더듬지 않았어도 아내와 말다툼을 할 때마다 항상 이겼을 거야.,병 때문에 아내 분과 말다툼에서 지는 것 같아서 속상하신가 봐요.
거리에서 아내에게 화가 나서 손찌검을 할 뻔했는데 사람들 때문에 당황스러워서 자리를 피했어.,사람들의 시선에 당황스러우셨겠어요.
오늘 우연히 아파트 시세를 봤는데 너무 어이가 없어서.,무슨 일이 있었는지 말씀해 주실 수 있나요?
아빠가 친구들에게 농담할 때는 부끄러워.,아빠가 농담을 자주 하는군요?
내가 죽으면 장례식에 와 주는 사람이 있을까?,왜 그런 생각을 하세요?
도대체 사람들 마음은 알다가도 모르겠어.,무슨 일인데 그러세요?
친하다고 생각한 직장동료와 사이가 멀어진 것 같아.,직장동료와 사이가 멀어져서 속상하셨군요.
노후준비를 못한 내가 너무 혐오스러워.,어떻게 하면 좋을까요?
연금 제도라는 것에 대해서 지금까지 제대로 모르고 있었어.,연금 제도에 대해 인제야 알게 되셨군요.
회사에 같이 들어온 동기들이 거의 다 은퇴를 하고 이제 거의 혼자야.,혼자 남으셔서 외로우신건가봐요.
혼란스러워서 알아보기 어렵네.,결정하시기가 어려운 일이 생기셨나 보네요.
나 남들 앞에 서서 주목받는 거 너무 싫은데 어떻게?,혹시 장기 자랑이나 자기소개하시나요?
가족한테 죄책감이 들어.,왜 그러세요?
친구가 나 기다려주느라 지각한건데 벌점 매겼다고해서 미안해.,친구가 혹시 화내셨나요?
마음 편히 연락할 사람이 없다는 게 내 스스로 부끄러워.,어떻게 하면 나아질 수 있을까요?
몇 군데나 면접을 봤는데 합격한 곳이 하나도 없는데 어쩌면 좋을까?,합격한 회사가 없어서 큰일이네요.
장난으로 친구 발에 걸려서 넘어졌다 일어났는데 사람들 시선이 쏠려서 당황했어.,장난으로 사람들의 시선을 끌어서 당황했군요.
오늘 모의고사 점수가 나왔는데 부모님께 못 보여주겠더라.,무슨 이유에서 그러실까요?
다들 승진을 했는데 나만 못 해서 가족들에게 너무 미안해.,승진을 못 하셔서 가족들에게 미안해하고 계시군요.
아내가 말도 없이 친구들과 여행을 갔어.,혼자 남으셨다니 외로우시겠어요.
주변 친구들은 모두 결혼하고 출산도 해서 다들 시간이 없대.,친구분들이 육아 때문에 다들 바쁘시군요.
은퇴를 앞두고 생각을 해보니 한심하고 초라해지는 나를 느껴.,은퇴를 앞두고 왜 한심하고 초라해진 감정을 느꼈을까요?
이제 노후준비를 하다보니 혼란스러워.,왜 그러세요?
아무도 나랑 함께하고 싶어 하지 않아서 속상해.,아무도 함께하지 않아서 속상하시군요.
가족모임에서 별것도 아닌일로 남편이 크게 소리를 냈어,가족들 앞에서 남편이 크게 소리를 질러서 창피하셨겠어요
새로 맡은 업무가 익숙하지 않아서 내가 실수했는데 박 과장님까지 부장님께 야단맞았어.,마음이 편치 않으시겠네요.
요새 죄책감이 들어.,그렇게 생각하시는 이유가 있으신가요?
옆집 철수는 서울대에 간다는데 우리집 딸은 내신이 엉망이라 걱정이야.,따님 성적이 좋지 않아 걱정이시군요.
자식들이 손주 키우느라 바쁜데 나까지 챙긴다고 고생하는 모습을 보니까 너무 미안해.,자식 분들이 고생하는 모습을 보니 마음이 안 좋으셨겠어요.
곧 은퇴를 하게 될 텐데 노후준비를 어떻게 할지 머리가 참 아프네.,노후준비에 대한 걱정 때문에 힘드시군요.
아내는 한 번이면 알아들을 말을 몇 번씩이나 반복해서 말해서 듣는 사람을 피곤하게 만들어.,자꾸 반복해서 말하는 아내에게 화가 나셨군요.
밖에 나갈 때마다 사람들이 늙은 나를 어떻게 바라볼지 신경이 쓰여.,외출할 때마다 사람들이 늙은 자신을 어떻게 바라볼지 시선이 신경쓰이시는군요.
남편이 술 마시고 또 늦게 들어왔어.,이번에도 늦게 오셨나요?
그 친구가 다른 친구를 괴롭히는 걸 목격했는데 놀라서 아무것도 할 수 없었어.,괴롭히는 걸 갑자기 봐서 놀라셨겠어요.
공부를 못하는 사람들이 한심해.,왜 그렇게 생각하나요?
요즘 밤만 되면 죽고 싶어.,무엇이 죽고 싶을 만큼 슬프도록 만들었나요?
가족들이 사이가 안좋아.,상심이 크시겠어요.
회사 사장이 너무 싫은데 그 앞에서는 웃으면서 있어야 한다는 게 정말 싫다.,사장의 어떤 점이 싫으신 거예요?
오늘 부모님이 크게 싸우셨어.,부모님이 왜 싸우셨어요?
결혼을 하고도 외로움을 느끼는 사람이 많더라.,왜 그런 감정을 느낄까요?
직장에서는 하고 싶은 말이 있어도 할 수가 없어.,왜 직장에서는 하고 싶은 말이 있어도 하지 않으시나요?
일단 건강하고 봐야겠어.,왜 그렇게 생각하세요?
아빠가 청소부라서 창피해.,아빠의 직업때문에 부끄러운가요?
요즘 남편 발 냄새가 너무 심해서 고민이야.,정말 고민 많이 되시겠어요.
출근하자마자 갑자기 축하를 해주는데 무슨 상황인지 혼란스럽더라.,출근 후의 갑작스러운 상황에 혼란스러우셨군요.
얼마 전에 지갑을 잃어버려서 지갑이랑 카드 그리고 돈 모두 잃어버렸어.,지갑을 잃어버려 당황하셨겠어요.
우리 가게는 나 말고 직원도 없는 곳인데 친구들에게는 프랜차이즈화를 생각 중이라 말해버렸어.,친구들에게 사실과 다르게 말해 걱정이시군요.
내가 노인정에서 놀다 약속에 늦었어.,그래서 어떡하셨어요?
늘어가는 내 뱃살을 보면 저절로 한숨이 나와.,뱃살이 늘어가서 걱정이시군요.
아직도 그렇게 생각하는 사람이 있다니 정말 끔찍해.,무슨 일이 있었는지 자세히 이야기해줄 수 있어요?
노인정 사람들 자식들은 자주 찾아오고 용돈도 주는데 내 자식들은 잘 오지도 않고 용돈도 주지 않아.,노인정분들의 자식과 많이 비교되셔서 속상하시겠어요.
회사에 입사지원서를 넣어서 최종 두 개 회사에 합격했어.,두 개 회사나 합격을 하셨다니 정말 축하드려요.
자기 말만 하고 복종하길 바라는 상사가 혐오스러워.,어떤 점이 그런 생각을 들게 했나요?
재정적으로 당황했어.,왜 그러세요?
노처녀라고 사람들이 자꾸 나한테 압박을 해.,주변에서 간섭받는 느낌이라 힘드시겠어요.
우리 친정이 잘사는데 결혼 때 도움을 좀 받았다고 남편이 열등감을 느껴.,남편 분께서 친정댁이 도와주신 일에 열등감을 느끼시는군요.
내 고등학교 동창이 두 달 전에 빌린 돈을 갚지 않고 연락이 안 되네.,친구가 돈을 빌려 간 후 연락이 안 되는군요.
직장 갈 때마다 내 외모적인 면을 어떻게 생각할지 신경 쓰여.,사람들에 대한 시선을 의식하고 계시군요.
세상을 잘못 살아온 것 같아 걱정이 많아.,어떤 일들로 그런 생각이 드셨나요?
친구가 돈빌려달라는걸 없다고 거짓말 했어.,친구에게 거짓말 한게 마음 쓰이시는군요.
아빠가 죽었어.,아버지가 돌아가셔서 슬프시겠어요.
모의고사는 점수가 괜찮은데 내신도 신경을 써야 되나 하는 생각이 들어.,모의고사 성적은 잘 나오는데 내신에도 굳이 신경을 써야 하나 고민이시군요.
지하철 노약좌석 앉을 때 자꾸 남의 눈치를 보게 돼.,노약좌석에 앉으실 때 자꾸 남의 시선을 의식하시는군요.
가족이랑 싸웠는데 당황스러웠어.,가족 문제로 힘드시겠어요.
당뇨합병증 때문에 디스크 수술을 할 수 없어서 막막해.,합병증으로 수술을 할 수 없어 막막하시군요.
사십대 중반에 벌써 건강이 안 좋으니 몸을 제대로 관리 못한 것 같아서 죄책감이 드네.,몸 관리가 잘 안 되어서 죄책감이 드시는군요.
이번에 들어온 신입은 말귀를 못 알아듣네.,새로 들어온 직원이 마음에 들지 않으신가 봐요.
연애 안한지 오래되니까 너무 외롭다.,외로움을 느끼고 계시는군요.
최근에 탄 보험금으로 어떤 주식에 투자했는데 정작 그걸 알려준 친구는 다른 데 투자했어.,친구의 주식 조언이 불안하시군요.
직장에서 나를 따돌리는 것 같아.,직장에서 따돌림당하는 것 같아 속상하실 것 같아요.
직장이 너무 혼란스러워.,무슨 일이 있으셨나요?
건강하게 오래 살겠다고 혐오식품을 먹는 사람들 이해가 안 가네.,예를 들면 어떤 혐오식품이 있나요?
건강이 많이 좋지 않아서 움직이기도 힘들어.,많이 속상하시겠어요. 
나 아직 장래를 정하지 못했어.,어떤 분야에 관심이 있으신가요?
나 요즘 많이 외로워.,무엇 때문에 외로우신지 물어봐도 되나요?
밖에 나가면 사람들이 나를 쳐다보는 거 같아.,어떤 점에서 그렇게 느끼셨나요?
답이없다,게임이그렇게좋을까
남자친구 말고 다름 사람이 좋아져.,남자친구가 아닌 다른 이성에게 호감을 느끼고 있군요.
만성 질환 치료 때문에 재정적으로 많이 힘든 상황이야.,만성 질환 치료에 돈이 많이 드나보네요.
친구 결혼식에 갔는데 친구 남편이 예전 남자친구여서 너무 놀랐어.,친구 남편분이 예전 남자친구분이라니 정말 놀라셨겠어요.
내 친구놈이 또 술병이 났네.,친구분이 술을 좋아하시나봐요.
이 나이 먹고 친구 한 명 없다는 게 부끄러워.,친구 관계가 많이 부족하신가봐요.
